time,attack_type,risk_score,risk_level,source,event
2026-05-21 01:44:47.645710,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.645 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:47.645933,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.645 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] invalidated after a failed init
2026-05-21 01:44:47.645950,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.645 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:47.646017,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.645 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] invalidated after a failed init
2026-05-21 01:44:47.647789,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.647 E  ecosystemd[6857:660ad0] (EcosystemAnalytics) EcosystemAnalytics.framework:RosettaCoordinator: getCodeSignatureInfo: SecStaticCodeCreate Failed url: <private>
2026-05-21 01:44:47.679157,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.678 Df ecosystemd[6857:660f0f] [com.apple.xpc:connection] [0x906c89400] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:47.679271,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.679 Df ecosystemd[6857:660f0f] [com.apple.xpc:connection] [0x906c89400] invalidated after a failed init
2026-05-21 01:44:47.679297,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.679 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:47.679343,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.679 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] invalidated after a failed init
2026-05-21 01:44:47.680294,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.680 E  ecosystemd[6857:660f0f] (EcosystemAnalytics) EcosystemAnalytics.framework:RosettaCoordinator: getCodeSignatureInfo: SecStaticCodeCreate Failed url: <private>
2026-05-21 01:44:47.704350,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.704 Df ecosystemd[6857:660f0f] [com.apple.xpc:connection] [0x906c89400] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:47.704446,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.704 Df ecosystemd[6857:660f0f] [com.apple.xpc:connection] [0x906c89400] invalidated after a failed init
2026-05-21 01:44:47.704676,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.704 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:47.704777,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.704 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] invalidated after a failed init
2026-05-21 01:44:47.706287,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.706 E  ecosystemd[6857:660f0f] (EcosystemAnalytics) EcosystemAnalytics.framework:RosettaCoordinator: getCodeSignatureInfo: SecStaticCodeCreate Failed url: <private>
2026-05-21 01:44:47.742411,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.742 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:47.742511,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.742 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] invalidated after a failed init
2026-05-21 01:44:47.742630,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.742 Df ecosystemd[6857:660f0f] [com.apple.xpc:connection] [0x906c89400] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:47.742660,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.742 Df ecosystemd[6857:660f0f] [com.apple.xpc:connection] [0x906c89400] invalidated after a failed init
2026-05-21 01:44:47.743837,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.743 E  ecosystemd[6857:660f0f] (EcosystemAnalytics) EcosystemAnalytics.framework:RosettaCoordinator: getCodeSignatureInfo: SecStaticCodeCreate Failed url: <private>
2026-05-21 01:44:47.765178,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.764 Df ecosystemd[6857:660f0f] [com.apple.xpc:connection] [0x906c89400] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:47.765275,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.764 Df ecosystemd[6857:660f0f] [com.apple.xpc:connection] [0x906c89400] invalidated after a failed init
2026-05-21 01:44:47.765303,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.765 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:47.765343,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.765 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] invalidated after a failed init
2026-05-21 01:44:47.766187,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.766 E  ecosystemd[6857:660f0f] (EcosystemAnalytics) EcosystemAnalytics.framework:RosettaCoordinator: getCodeSignatureInfo: SecStaticCodeCreate Failed url: <private>
2026-05-21 01:44:47.786550,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.786 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:47.786629,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.786 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] invalidated after a failed init
2026-05-21 01:44:47.786714,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.786 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:47.786743,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.786 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] invalidated after a failed init
2026-05-21 01:44:47.787767,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.787 E  ecosystemd[6857:660ad0] (EcosystemAnalytics) EcosystemAnalytics.framework:RosettaCoordinator: getCodeSignatureInfo: SecStaticCodeCreate Failed url: <private>
2026-05-21 01:44:47.802868,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.802 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:47.802931,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.802 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] invalidated after a failed init
2026-05-21 01:44:47.803450,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.803 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:47.803482,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.803 Df ecosystemd[6857:660ad0] [com.apple.xpc:connection] [0x906c89400] invalidated after a failed init
2026-05-21 01:44:47.804959,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.804 E  ecosystemd[6857:660ad0] (EcosystemAnalytics) EcosystemAnalytics.framework:RosettaCoordinator: getCodeSignatureInfo: SecStaticCodeCreate Failed url: <private>
2026-05-21 01:44:47.826598,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.826 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:47.826669,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.826 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] invalidated after a failed init
2026-05-21 01:44:47.826786,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.826 Df ecosystemd[6857:660f0e] [com.apple.xpc:connection] [0x906c89400] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:47.826839,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.826 Df ecosystemd[6857:660f0e] [com.apple.xpc:connection] [0x906c89400] invalidated after a failed init
2026-05-21 01:44:47.827907,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.827 E  ecosystemd[6857:660f0e] (EcosystemAnalytics) EcosystemAnalytics.framework:RosettaCoordinator: getCodeSignatureInfo: SecStaticCodeCreate Failed url: <private>
2026-05-21 01:44:47.845359,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.845 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2026-05-21 01:44:47.845454,Mac Failed Login,70,Medium,Mac Local System,2026-05-21 01:44:47.845 Df ecosystemanalyticsd[53070:660b6c] [com.apple.xpc:connection] [0xa56c7c640] invalidated after a failed init
